Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
Balletic Foods,Startup working on creating proteins designed for improving athletic performance using precision fermentation. ,Precision fermentation,Meat,Ingredient optimization,,,,U.S. and Canada,United States,CA,San Francisco,http://www.balleticfoods.com/,2017,Anita Broellochs,tmjduleedghkdolavjcn.png (https://dl.airtable.com/.attachments/5ee53ded8674a2cf758ab59e0fd97be0/bb267794/tmjduleedghkdolavjcn.png)
Alife Foods,Germany-based company producing cultured schnitzel ,Cultivated,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,Europe,Germany,Sachsen,Leipzig,http://alifefoods.de/,2019,"Steffen Sonnenberg, Dat Tran, Joe Natoli, Bernd Boeck",1569833371395.jpg (https://dl.airtable.com/.attachments/8144b562d2cacff98683ae076a4a8db0/c63434d7/1569833371395.jpg)
Bob's Red Mill,"Produces flours, beans, nuts, seeds, and texturized vegetable protein (TVP), among other products",Plant-based,Meat,End product formulation and manufacturing,Other,,,U.S. and Canada,United States,OR,Milwaukie,https://www.bobsredmill.com/,1978,"Bob Moore, Charlee Moore",download (2).jpg (https://dl.airtable.com/.attachments/9edc937684f7320c9a0cd1f3889d33bc/0292b377/download2.jpg)
Algama,"Platform for microalgae-based plant-based foods and ingredients (including egg, seafood, meat, and dairy replacements)",Biomass fermentation,"Food processing infrastructure and equipment,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,"Ground meat,Eggs,Other",Tuna,,"U.S. and Canada,Europe",France,,Paris,http://algamafoods.com/,2013,"Alvyn Severien, Gaëtan Gohin",crhejt5qumk3s9afljpv.png (https://dl.airtable.com/.attachments/b4fc2886f6b9b56ada1aff17cec78b45/58be6373/crhejt5qumk3s9afljpv.png)
Akua,Kelp jerky,Plant-based,Meat,End product formulation and manufacturing,Other meat,Beef/veal,,U.S. and Canada,United States,NY,New York,https://akua.co/,2017,Courtney Boyd-Myers,download.jpg (https://dl.airtable.com/.attachments/2aba4f6ea0f0bb80af98d2871af7ef48/9ed86fcf/download.jpg)
Chicago Vegan Foods,Produces Teese brand plant-based cheese that was discontinued for retail but is still available for foodservice. Produces Temptation brand plant-based ice creams (soft serve and regular varieties available). Produces Dandies brand vegan marshmallows.,Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other dairy",,"Soy,Coconut,Pea",U.S. and Canada,United States,IL,Lombard,http://www.chicagoveganfoods.com/,2001,"Ryan Howard, Dan Ziegler, Ted Robb",download (5).jpg (https://dl.airtable.com/.attachments/9f2acba1651add87abf436d658472407/b5ca62d4/download5.jpg)
Atlas Meat-free Delicatessen,Vegetarian deli featuring house-made plant-based meats that are available for foodservice.,Plant-based,"Dairy,Meat",End product formulation and manufacturing,"Ground meat,Whole muscle meat","Beef/veal,Chicken",,U.S. and Canada,United States,FL,Miami,http://www.atlasmeatfreedeli.com/,2017,Ryan Echaus,unnamed.jpg (https://dl.airtable.com/.attachments/b10f80036365133d8ade3713d0c301a5/6e52a762/unnamed.jpg)
8th Continent,Produces soy milk,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Soy,U.S. and Canada,United States,CA,Santa Ana,http://www.8thcontinent.com/,2001,subsidiary of Stremicks Heritage Foods,8th_Continent_logo.jpg (https://dl.airtable.com/.attachments/1d940ed66e2ed1d825351e7390718e3d/35e84165/8th_Continent_logo.jpg)
Bubba Foods,"Produces a veggie burger, as well as a variety of animal-based products",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Rice,U.S. and Canada,United States,FL,Jacksonville,https://bubbafoods.com/,2000,"Walter ""Bubba"" Eaves",download (4).jpg (https://dl.airtable.com/.attachments/469e23c7f7e14d085fce31c9f708359d/84669f2c/download4.jpg)
24 Vegan,Produces vegan fish sauce,Plant-based,"Other,Seafood",End product formulation and manufacturing,Other,Fish,Soy,"U.S. and Canada,Europe,Asia Pacific",United States,CA,Arcadia,http://24vegan.com/,2016,Kimberly Vodang,24vegan-r-slogan-1.png (https://dl.airtable.com/.attachments/0f6c1bb437cd7018b5bcaf41d7efb8e9/1fac8065/24vegan-r-slogan-1.png)
Ajoyo,Produces almond milks,Plant-based,Dairy,End product formulation and manufacturing,Milk,,,U.S. and Canada,United States,OH,Orrville,http://www.ajoyobrand.com/,2014,,Ajoyo-Logo.png (https://dl.airtable.com/.attachments/da1a33191ed8bd20eea137a039c4709c/82bffdbc/Ajoyo-Logo.png)
Blue Mountain Organics,"Produces mainly cashew, coconut and almond-based dairy-free ice cream, milk and butter",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy,Other",,"Almond,Cashew,Coconut",U.S. and Canada,United States,VA,Floyd,http://www.bluemountainorganics.com/,2005,Jared Mizrahi,2020-05-23.png (https://dl.airtable.com/.attachments/a4f95b4a3db027d367e7847a3e18d457/a6e8614a/2020-05-23.png)
Alpha Foods,"Plant-based burritos, chicken, and beef",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Chicken,Beef/veal",Soy,U.S. and Canada,United States,CA,Glendale,http://alphaplantbased.com/,2015,"Loren Wallis, Cole Orobetz",download (2).png (https://dl.airtable.com/.attachments/3abe8caddadac7a885404f88f7b1f93a/ce156b67/download2.png)
Cado Ice Cream,Produces avocado-based dairy-free ice cream,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,,U.S. and Canada,United States,IA,Fairfield,http://cadoicecream.com/,2016,"Meghan Dowd, Jack Dowd",Cado-Logo-simple-2-1.png (https://dl.airtable.com/.attachments/bf281e29fc76867a10539c29f83e3b2d/b24c6dc3/Cado-Logo-simple-2-1.png)
Bliss Unlimited,Produces Luna and Larry’s Coconut Bliss brand coconut-milk based ice creams and frozen desserts. ,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Coconut,U.S. and Canada,United States,OR,Eugene,http://coconutbliss.com/,2005,"Luna Kaplowitz, Larry Kaplowitz",coconut-bliss-logo.png (https://dl.airtable.com/.attachments/ca77cea9c18154dff5ee114b31c3044d/a40129a4/coconut-bliss-logo.png)
Califia Farms,"Produces almond- and coconut-based milks, iced coffees, creamers and avocado-based butters.",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,"Almond,Oat,Coconut",U.S. and Canada,United States,CA,Los Angeles,https://www.califiafarms.com/,2010,Greg Steltenpohl,ezrmmr9nyp3kupvan8uk.jpg (https://dl.airtable.com/.attachments/2ca6dc7465cc6bb6d66584bfc6a8d0b0/06058d45/ezrmmr9nyp3kupvan8uk.jpg)
Beyond Meat,"Plant-based meat company, publicly traded. Produces the Beyond Burger and Beyond Sausage, among other plant-based meat products",Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat","Beef/veal,Chicken","Pea,Fava bean,Mung Bean","U.S. and Canada,Europe,Asia Pacific,Latin America",United States,CA,El Segundo,http://beyondmeat.com/,2009,Ethan Brown,lgczju9vbyhkzuuub1em.jpg (https://dl.airtable.com/.attachments/ff8a67c62ee4a8543bb149de2ed35162/fc5b552f/lgczju9vbyhkzuuub1em.jpg)
Because Animals,U.S.-based company making cultured meat for dog and cat food and supplements,Cultivated,"Other,Meat",End product formulation and manufacturing,Pet food,,,U.S. and Canada,United States,Illinois,Chicago,https://becauseanimals.com/,2016,Joshua Errett,1560364204955.png (https://dl.airtable.com/.attachments/3bcf102f2b1729a58604cf4f86453ad3/d2847f5d/1560364204955.png)
Boca,"Produces a variety of plant-based meat products, including Boca burgers, chicken nuggets/patties, and breakfast products. ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Turkey,Chicken",Soy,U.S. and Canada,United States,WI,Madison,http://www.bocaburger.com,1994,Max Shondor,download (2).png (https://dl.airtable.com/.attachments/0871984da97de010486f603e8bf5cb41/2d00ed1f/download2.png)
Better Nature,Startup working on new applications of tempeh,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Whole muscle meat","Beef/veal,Chicken","Lupine,Soy",Europe,United Kingdom,,London,https://www.betternaturefoods.co/,2018,"Christopher Kong, Amadeus Driando Ahnan, Fabio Rinaldo, Elin Roberts",awn9hyypw05sgrgf1fd3.png (https://dl.airtable.com/.attachments/fe1b0dcb526c2ebf84addbb68e26407c/5838f099/awn9hyypw05sgrgf1fd3.png)
apura farms,Produces veggie burger mixes,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,U.S. and Canada,United States,FL,,https://apurafarms.com/,2018,Susan Mussaffi,download (1).jpg (https://dl.airtable.com/.attachments/5ff7f62fa0a94d4d6dea5a0d6d795316/92bd2753/download1.jpg)
Ben & Jerry's,"Produces a variety of non-vegan ice creams, and released a line of four certified vegan almond-milk based non-dairy flavors in February 2016, and added three additional non-dairy flavors in February 2017. ",Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Soy,Pea,Wheat,Sunflower","U.S. and Canada,Latin America,Europe,Asia Pacific",United States,VT,Burlington,http://www.benjerry.com/flavors/non-dairy,1978,"Ben Cohen, Jerry Greenfield",download.png (https://dl.airtable.com/.attachments/ed7ac55e22f7e35246d725886884ce84/2f8421f1/download.png)
Aveyo,Produces avocado-based yogurts,Plant-based,Dairy,End product formulation and manufacturing,,,Other,U.S. and Canada,United States,MA,Newton,https://www.aveyolife.com/,2013,"Ryan J. Cahill, Markus Haefeli",Aveyo+Logo+2018_09+ColorAvo+01.png (https://dl.airtable.com/.attachments/45519fda029ec4bb113ca48134c214df/133624fd/AveyoLogo2018_09ColorAvo01.png)
Botanic Bites,"Mushroom based meat replacements (burgers, pulled meat, shawarma)",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Mushrooms,Europe,Netherlands,,Eindhoven,https://www.botanicbites.com/,2016,,download (3).jpg (https://dl.airtable.com/.attachments/7f9d59d0253fd68a95216186fa692872/e8fdca6d/download3.jpg)
Smart Balance,"Produces plant-based butter, as well as animal-based butter and oils",Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,,U.S. and Canada,United States,,,https://www.smartbalance.com/,,,SBLogo.png (https://dl.airtable.com/.attachments/e22c67be34aa130cc09fa6c161046803/183540df/SBLogo.png)
Cacique,"Produces soy sausage, as well as a variety of animal-based sausages and cheeses",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Soy,U.S. and Canada,United States,CA,Monrovia,https://www.caciqueinc.com/,1973,"Gilbert de Cardenas, Jenny de Cardenas",logo.png (https://dl.airtable.com/.attachments/d86fb68c376901766bd1e4ce73c89e4b/830dd319/logo.png)
Bolthouse Farms,"Produces pea-based milks, smoothies, and salad dressings",Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Pea,Coconut",U.S. and Canada,United States,CA,Bakersfield,https://www.bolthouse.com/,1915,,jaz1j2k7a5kdzf8ejjjt.jpg (https://dl.airtable.com/.attachments/0ba5efb2ad8d088135946ef0c680b7ac/365a1690/jaz1j2k7a5kdzf8ejjjt.jpg)
Amy's Kitchen,"Produces vegetarian and vegan frozen entrees, meals and meat alternatives. ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,U.S. and Canada,United States,CA,Petaluma,http://www.amys.com/,1987,"Andy Berliner, Rachel Berliner",images.png (https://dl.airtable.com/.attachments/2bfebca2f1e32fabf0b0c864aff07c60/476e7ba8/images.png)
Cheese the Queen,"Produces cultured plant-based cheese from fermented cashew-filled, probiotic and herby superfood.",Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,Europe,Bulgaria,,Sofia,http://cheesethequeen.com/en/,2017,"Vera Tinkova, Hristina Tancheva, Boyan Tanchev",download (7).png (https://dl.airtable.com/.attachments/ad54a48473d7ca6c462569ce668479d2/075981d5/download7.png)
Cauldron,Maker of a variety of plant-based meats,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,"Chickpea,Soy",Europe,United Kingdom,,Middlesbrough,https://www.cauldronfoods.co.uk/,1979,,download (4).png (https://dl.airtable.com/.attachments/d3ad0f98d581792691d49e42dd1594c5/24b2d50e/download4.png)
Cashewbert,Produces their own vegan cheese and also vegan cheese cultures and starter kits for home-made vegan cheese,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,"Cashew,Coconut",Europe,Germany,,Berlin,https://www.cashewbert.com/,2015,Anderson Santos,MTAwOjEwMDpjb21wYW55QHMzLWV1LXdlc3QtMS5hbWF6b25hd3MuY29tL2RlYWxyb29tLWltYWdlcy8yMDE5LzA3LzMwLzc5YmJjM2ZlMDk3YmRjNzBkMDVmNWMxMTBiY2E3ODU0.png (https://dl.airtable.com/.attachments/1e74e702eee2ce8c53c944d2e390a43b/435c9437/MTAwOjEwMDpjb21wYW55QHMzLWV1LXdlc3QtMS5hbWF6b25hd3MuY29tL2RlYWxyb29tLWltYWdlcy8yMDE5LzA3LzMwLzc5YmJjM2ZlMDk3YmRjNzBkMDVmNWMxMTBiY2E3ODU0.png)
Blue Diamond Almond Breeze,Blue Diamond's brand of almond milks and almond milk blends.,Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,Almond,U.S. and Canada,United States,CA,Sacramento,http://www.almondbreeze.com/,1910,,2bbedc2457cd8c0814d983849247f911.png (https://dl.airtable.com/.attachments/7a3fd55fe673e00303af57a7e9898c09/f809d7fc/2bbedc2457cd8c0814d983849247f911.png)
Augason Farms,"Produces canned foods branded for emergency preparedness, including emergency meal kits. Many of their products are vegetarian meat alternatives, including ground chicken, beef, and bacon bits. ",Plant-based,Meat,Ingredient optimization,"Milk,Other,Other meat,Eggs",,"Soy,Other,Lentils",U.S. and Canada,United States,UT,Salt Lake City,http://www.augasonfarms.com/,1972,Phil Augason,AF-LOGO-Black&White-New-288x189.jpg (https://dl.airtable.com/.attachments/600ff41c430cd43ca3b381ba171b4f8b/5a21c06f/AF-LOGO-BlackWhite-New-288x189.jpg)
BioScienz,Produces egg proteins using fermentation platform (overexpression of the chicken ovalbumin gene in a fungus) (part of a larger business),Fermentation-derived,Eggs,,,,,Europe,Netherlands,,Breda,https://www.bioscienz.nl/foodproject1,2011,Wim de Laat,bbtvogulcvym4ocmthjd.png (https://dl.airtable.com/.attachments/0826b8ecb667ebc8811a95d54d44f669/865c349e/bbtvogulcvym4ocmthjd.png)
Bond Pet Foods,Microbially produced animal proteins for pet food. ,Precision fermentation,Other,End product formulation and manufacturing,Pet food,,Pea,U.S. and Canada,United States,CO,Boulder,https://www.bondpets.com/,2015," Rich Kelleman, Pernilla Turner Audibert",hldpukjrjhe7l2ov36la.png (https://dl.airtable.com/.attachments/c34a7341783ee84480d319286432dd9a/74afa900/hldpukjrjhe7l2ov36la.png)
Change Foods,Protein and fat production for dairy (starting with cheese) using precision fermentation. ,Precision fermentation,Dairy,"End product formulation and manufacturing,Target molecule selection","Cheese,Other dairy",,,"U.S. and Canada,Asia Pacific",United States,CA,San Francisco,https://www.changefoods.com/,2019,David Bucca,Change-Primary-Logo-RGB-02-White-over-Yellow-LRG.jpg (https://dl.airtable.com/.attachments/2ce45ffa6522e79166c80aa7fc929106/d3a04a6e/Change-Primary-Logo-RGB-02-White-over-Yellow-LRG.jpg)
Magic Caviar,Netherlands-based company producing cultivated Oocytes in vitro to create caviar  ,Cultivated,"Eggs,Seafood",End product formulation and manufacturing,Eggs,Fish,,Europe,Netherlands,,Amsterdam,https://www.magiccaviar.com/,2020,Henri Kunz,Capture.JPG (https://dl.airtable.com/.attachments/f175119ac321f71a2d85e90c74159bc5/6b5cf0fa/Capture.JPG)
Modern Meat (Modern Plant Based Foods Inc.),Plant-based ground beef/burgers and plant-based crab cakes,Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,"Beef/veal,Shellfish",,U.S. and Canada,Canada,BC,Vancouver,https://www.themodernmeat.com/,2019,Tara Haddad,MEAT_0.png (https://dl.airtable.com/.attachments/a71f5cd277b1a352dd01250e3ca18fa0/0c3054e3/MEAT_0.png)
Zen Burger,"Produces nut-based burgers, balls and tacos. The company produces Gluten-Free, Soy-Free, Nut-plant based and organic burgers and tacos which are healthy alternatives to current fast foods.",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,"Rice,Sunflower",U.S. and Canada,United States,CA,Newport Beach,http://www.zenburger.com/,2013,Carla Lee,zen-logo-simple-150-blk.png (https://dl.airtable.com/.attachments/25ab006c802bf6fc4427d6ddcff2fbb5/ed44cdff/zen-logo-simple-150-blk.png)
Flexitarian Bastards,Creates Vegan and Vegetarian snacks and meals to promote a healthier lifestyle and consciousness of the environment without sacrificing familiarity and taste ,Plant-based,"Meat,Dairy,Eggs",,,,,Europe,Netherlands,,,https://www.flexitarianbastards.com/,,"Steve Bonnyns, Erik Carmans, Luc Carmans ",FBLogo.png (https://dl.airtable.com/.attachments/e932742f00276c9a2ae5803ee26367cc/5b76c11a/FBLogo.png)
NEXT MEATS,"Japan-based plant-based meat product developer currently expanding into the larger APAC region and in the US. Our major product lines are: gyudon (Japanese style sweet and salty beef bowl), yakiniku (Japanese style Korean BBQ), and original burger patties.",Plant-based,Meat,"Scaffolding and structure,End product formulation and manufacturing",Other meat,"Beef/veal,Pork",,"Asia Pacific,Global",Japan,,Tokyo,http://nextmeats.jp/,2020,"Hideyuki Sasaki, Ryo Shirai  ",nextmeats_logo.jpeg (https://dl.airtable.com/.attachments/59c9cdda2fff4d47eff21d1efac601bb/e7c6c927/nextmeats_logo.jpeg)
Jack & Friends,"Jack & Friends is a company embodying inclusivity through its mission to craft products you can feel good about eating, regardless of your lifestyle or diet. Our first product line is a plant-based jerky made from jackfruit (the “Jack” in our name) and pea protein that is not only vegan and top 8 allergen-free, but also a good source of protein and fiber with no added sugar.",Plant-based,Meat,End product formulation and manufacturing,Other meat,Beef/veal,"Jackfruit,Pea",U.S. and Canada,United States,NY,Great Neck,https://www.jackandfriendsjerky.com/,2019,Jessica Kwong,Jack+&+Friends+Vegan+Jerky+Logo.png (https://dl.airtable.com/.attachments/8d8c791fe1413c33b2033c7a27e03ffd/e7318bed/JackFriendsVeganJerkyLogo.png)
